ts,symbol,price,size,side
1759080000000,EURUSD,1.18300,153,S
1759080000100,EURUSD,1.18299,65,B
1759080000200,EURUSD,1.18300,27,B
1759080000300,EURUSD,1.18301,22,B
1759080000400,EURUSD,1.18301,196,S
1759080000500,EURUSD,1.18300,182,B
1759080000600,EURUSD,1.18299,196,S
1759080000700,EURUSD,1.18299,38,B
1759080000800,EURUSD,1.18299,178,B
1759080000900,EURUSD,1.18300,37,S
1759080001000,EURUSD,1.18298,100,B
1759080001100,EURUSD,1.18299,94,B
1759080001200,EURUSD,1.18298,44,B
1759080001300,EURUSD,1.18297,68,B
1759080001400,EURUSD,1.18299,83,S
1759080001500,EURUSD,1.18296,192,S
1759080001600,EURUSD,1.18298,131,S
1759080001700,EURUSD,1.18298,197,S
1759080001800,EURUSD,1.18298,104,B
1759080001900,EURUSD,1.18297,181,B
1759080002000,EURUSD,1.18297,58,B
1759080002100,EURUSD,1.18296,195,S
1759080002200,EURUSD,1.18297,31,B
1759080002300,EURUSD,1.18295,77,S
1759080002400,EURUSD,1.18297,174,S
1759080002500,EURUSD,1.18296,92,S
1759080002600,EURUSD,1.18295,164,B
1759080002700,EURUSD,1.18294,112,B
1759080002800,EURUSD,1.18294,175,S
1759080002900,EURUSD,1.18295,32,S
1759080003000,EURUSD,1.18294,51,B
1759080003100,EURUSD,1.18295,21,S
1759080003200,EURUSD,1.18294,185,B
1759080003300,EURUSD,1.18293,21,B
1759080003400,EURUSD,1.18293,196,S
1759080003500,EURUSD,1.18294,69,S
1759080003600,EURUSD,1.18292,91,B
1759080003700,EURUSD,1.18293,36,S
1759080003800,EURUSD,1.18294,104,S
1759080003900,EURUSD,1.18293,36,B
1759080004000,EURUSD,1.18292,122,B
1759080004100,EURUSD,1.18293,135,B
1759080004200,EURUSD,1.18292,53,S
1759080004300,EURUSD,1.18293,53,B
1759080004400,EURUSD,1.18292,121,S
1759080004500,EURUSD,1.18291,41,B
1759080004600,EURUSD,1.18292,54,B
1759080004700,EURUSD,1.18292,148,S
1759080004800,EURUSD,1.18290,28,S
1759080004900,EURUSD,1.18292,144,B
1759080005000,EURUSD,1.18290,125,S
1759080005100,EURUSD,1.18290,84,B
1759080005200,EURUSD,1.18291,113,S
1759080005300,EURUSD,1.18290,103,S
1759080005400,EURUSD,1.18289,21,B
1759080005500,EURUSD,1.18289,182,S
1759080005600,EURUSD,1.18289,117,S
1759080005700,EURUSD,1.18290,195,S
1759080005800,EURUSD,1.18288,76,B
1759080005900,EURUSD,1.18288,21,B
1759080006000,EURUSD,1.18287,157,S
1759080006100,EURUSD,1.18289,53,B
1759080006200,EURUSD,1.18289,24,B
1759080006300,EURUSD,1.18287,120,S
1759080006400,EURUSD,1.18287,183,S
1759080006500,EURUSD,1.18287,52,B
1759080006600,EURUSD,1.18288,61,S
1759080006700,EURUSD,1.18288,37,B
1759080006800,EURUSD,1.18288,101,S
1759080006900,EURUSD,1.18288,93,B
1759080007000,EURUSD,1.18285,49,B
1759080007100,EURUSD,1.18285,39,B
1759080007200,EURUSD,1.18285,60,S
1759080007300,EURUSD,1.18287,89,S
1759080007400,EURUSD,1.18286,83,S
1759080007500,EURUSD,1.18284,96,B
1759080007600,EURUSD,1.18285,61,S
1759080007700,EURUSD,1.18284,142,B
1759080007800,EURUSD,1.18285,144,B
1759080007900,EURUSD,1.18285,196,S
1759080008000,EURUSD,1.18284,147,S
1759080008100,EURUSD,1.18284,137,B
1759080008200,EURUSD,1.18285,91,S
1759080008300,EURUSD,1.18284,77,B
1759080008400,EURUSD,1.18285,64,B
1759080008500,EURUSD,1.18283,77,B
1759080008600,EURUSD,1.18283,28,S
1759080008700,EURUSD,1.18284,199,B
1759080008800,EURUSD,1.18282,78,S
1759080008900,EURUSD,1.18283,24,B
1759080009000,EURUSD,1.18283,73,S
1759080009100,EURUSD,1.18282,188,S
1759080009200,EURUSD,1.18282,133,B
1759080009300,EURUSD,1.18281,166,S
1759080009400,EURUSD,1.18282,63,S
1759080009500,EURUSD,1.18282,107,S
1759080009600,EURUSD,1.18280,109,B
1759080009700,EURUSD,1.18282,142,B
1759080009800,EURUSD,1.18282,38,B
1759080009900,EURUSD,1.18280,61,B
