ts,symbol,price,size,side
1759080000000,EURUSD,1.18259,122,B
1759080000100,EURUSD,1.18325,78,S
1759080000200,EURUSD,1.18269,169,S
1759080000300,EURUSD,1.18254,27,B
1759080000400,EURUSD,1.18290,181,S
1759080000500,EURUSD,1.18253,54,S
1759080000600,EURUSD,1.18287,155,B
1759080000700,EURUSD,1.18341,43,B
1759080000800,EURUSD,1.18340,142,B
1759080000900,EURUSD,1.18310,139,S
1759080001000,EURUSD,1.18308,198,S
1759080001100,EURUSD,1.18264,130,B
1759080001200,EURUSD,1.18314,133,S
1759080001300,EURUSD,1.18285,59,B
1759080001400,EURUSD,1.18295,37,S
1759080001500,EURUSD,1.18308,123,B
1759080001600,EURUSD,1.18288,111,S
1759080001700,EURUSD,1.18276,49,S
1759080001800,EURUSD,1.18328,200,S
1759080001900,EURUSD,1.18258,92,S
1759080002000,EURUSD,1.18297,163,B
1759080002100,EURUSD,1.18317,189,S
1759080002200,EURUSD,1.18324,63,S
1759080002300,EURUSD,1.18274,36,B
1759080002400,EURUSD,1.18344,106,B
1759080002500,EURUSD,1.18250,192,S
1759080002600,EURUSD,1.18273,97,B
1759080002700,EURUSD,1.18334,25,S
1759080002800,EURUSD,1.18343,28,B
1759080002900,EURUSD,1.18280,113,S
1759080003000,EURUSD,1.18259,120,B
1759080003100,EURUSD,1.18272,54,S
1759080003200,EURUSD,1.18319,91,S
1759080003300,EURUSD,1.18310,116,S
1759080003400,EURUSD,1.18269,118,S
1759080003500,EURUSD,1.18298,53,B
1759080003600,EURUSD,1.18263,33,B
1759080003700,EURUSD,1.18265,116,S
1759080003800,EURUSD,1.18285,187,S
1759080003900,EURUSD,1.18315,100,B
1759080004000,EURUSD,1.18281,89,B
1759080004100,EURUSD,1.18289,95,S
1759080004200,EURUSD,1.18280,20,S
1759080004300,EURUSD,1.18292,189,B
1759080004400,EURUSD,1.18345,34,S
1759080004500,EURUSD,1.18345,154,B
1759080004600,EURUSD,1.18257,104,B
1759080004700,EURUSD,1.18305,160,S
1759080004800,EURUSD,1.18251,39,B
1759080004900,EURUSD,1.18327,173,S
1759080005000,EURUSD,1.18252,115,S
1759080005100,EURUSD,1.18271,192,B
1759080005200,EURUSD,1.18334,161,S
1759080005300,EURUSD,1.18341,121,B
1759080005400,EURUSD,1.18279,159,B
1759080005500,EURUSD,1.18297,187,B
1759080005600,EURUSD,1.18333,57,B
1759080005700,EURUSD,1.18293,177,B
1759080005800,EURUSD,1.18313,85,B
1759080005900,EURUSD,1.18270,93,S
1759080006000,EURUSD,1.18273,104,B
1759080006100,EURUSD,1.18348,95,B
1759080006200,EURUSD,1.18295,171,S
1759080006300,EURUSD,1.18326,184,S
1759080006400,EURUSD,1.18260,145,S
1759080006500,EURUSD,1.18319,89,S
1759080006600,EURUSD,1.18329,126,B
1759080006700,EURUSD,1.18333,128,S
1759080006800,EURUSD,1.18317,130,B
1759080006900,EURUSD,1.18340,165,S
1759080007000,EURUSD,1.18280,130,B
1759080007100,EURUSD,1.18350,194,B
1759080007200,EURUSD,1.18304,31,B
1759080007300,EURUSD,1.18326,190,B
1759080007400,EURUSD,1.18329,103,B
1759080007500,EURUSD,1.18316,30,B
1759080007600,EURUSD,1.18323,72,B
1759080007700,EURUSD,1.18312,92,S
1759080007800,EURUSD,1.18350,138,S
1759080007900,EURUSD,1.18278,104,B
1759080008000,EURUSD,1.18290,107,B
1759080008100,EURUSD,1.18271,109,S
1759080008200,EURUSD,1.18281,195,S
1759080008300,EURUSD,1.18342,140,S
1759080008400,EURUSD,1.18269,106,S
1759080008500,EURUSD,1.18261,55,B
1759080008600,EURUSD,1.18321,135,B
1759080008700,EURUSD,1.18269,76,B
1759080008800,EURUSD,1.18276,112,B
1759080008900,EURUSD,1.18280,104,B
1759080009000,EURUSD,1.18274,168,B
1759080009100,EURUSD,1.18332,93,B
1759080009200,EURUSD,1.18297,103,S
1759080009300,EURUSD,1.18263,103,S
1759080009400,EURUSD,1.18259,81,S
1759080009500,EURUSD,1.18271,47,B
1759080009600,EURUSD,1.18337,66,B
1759080009700,EURUSD,1.18346,191,S
1759080009800,EURUSD,1.18294,119,B
1759080009900,EURUSD,1.18343,92,B
