ts,symbol,side,price,quantity,order_id
1759080000400,EURUSD,B,1.183,20,1
1759080000500,EURUSD,B,1.183,80,1
1759080000500,EURUSD,B,1.183,50,3
1759080000500,EURUSD,B,1.183,13,5
1759080001200,EURUSD,B,1.183,20,5
1759080002700,EURUSD,S,1.18301,41,10
1759080002900,EURUSD,S,1.18301,9,10
1759080002900,EURUSD,S,1.18301,33,12
1759080003300,EURUSD,S,1.18301,100,14
1759080003300,EURUSD,S,1.18301,50,16
1759080004400,EURUSD,S,1.18302,33,18
1759080005300,EURUSD,B,1.18301,94,19
1759080005400,EURUSD,S,1.18302,49,22
1759080005700,EURUSD,S,1.18302,1,22
1759080005700,EURUSD,S,1.18302,33,24
1759080007400,EURUSD,B,1.18301,98,25
1759080007700,EURUSD,S,1.18302,50,28
1759080007700,EURUSD,S,1.18302,33,30
1759080007800,EURUSD,B,1.18301,1,25
1759080009300,EURUSD,S,1.18302,50,34
1759080009300,EURUSD,S,1.18302,33,36
1759080009800,EURUSD,B,1.18301,35,31
1759080010000,EURUSD,B,1.18301,55,31
1759080010100,EURUSD,B,1.18301,7,31
1759080010100,EURUSD,B,1.183,13,33
1759080010800,EURUSD,B,1.183,35,33
1759080010800,EURUSD,B,1.183,32,35
1759080011100,EURUSD,B,1.18301,96,37
1759080011900,EURUSD,B,1.183,48,39
1759080011900,EURUSD,B,1.183,17,41
1759080012200,EURUSD,B,1.183,15,41
1759080013200,EURUSD,B,1.18301,71,43
1759080013600,EURUSD,B,1.18301,15,43
1759080013600,EURUSD,B,1.183,43,45
1759080013600,EURUSD,B,1.183,28,47
1759080014900,EURUSD,B,1.18301,71,49
1759080014900,EURUSD,B,1.183,35,51
1759080014900,EURUSD,B,1.183,23,53
1759080016900,EURUSD,B,1.183,58,55
1759080016900,EURUSD,B,1.18299,29,57
1759080016900,EURUSD,B,1.18299,19,59
1759080018900,EURUSD,B,1.183,47,61
1759080018900,EURUSD,B,1.18299,23,63
1759080018900,EURUSD,B,1.18299,15,65
1759080021000,EURUSD,B,1.183,39,67
1759080021000,EURUSD,B,1.18299,19,69
1759080021000,EURUSD,B,1.18299,13,71
1759080022900,EURUSD,B,1.18299,32,73
1759080022900,EURUSD,B,1.18299,16,75
1759080022900,EURUSD,B,1.18299,10,77
1759080023200,EURUSD,S,1.183,100,74
1759080025100,EURUSD,B,1.183,36,79
1759080025200,EURUSD,B,1.18299,18,81
1759080025200,EURUSD,B,1.18299,7,83
1759080026100,EURUSD,S,1.18301,50,82
1759080026100,EURUSD,S,1.18301,33,84
1759080027100,EURUSD,S,1.183,27,86
1759080027400,EURUSD,S,1.183,73,86
1759080027400,EURUSD,S,1.18301,50,88
1759080027400,EURUSD,S,1.18301,33,90
1759080028900,EURUSD,S,1.18301,50,94
1759080028900,EURUSD,S,1.18301,33,96
1759080030900,EURUSD,S,1.18301,67,98
1759080031000,EURUSD,S,1.18301,33,98
1759080031000,EURUSD,S,1.18301,50,100
1759080031000,EURUSD,S,1.18302,33,102
1759080032900,EURUSD,S,1.18302,98,104
1759080033100,EURUSD,S,1.18302,2,104
1759080033100,EURUSD,S,1.18302,50,106
1759080033100,EURUSD,S,1.18303,33,108
1759080034900,EURUSD,S,1.18302,32,110
1759080035000,EURUSD,S,1.18302,68,110
1759080035000,EURUSD,S,1.18303,50,112
1759080035000,EURUSD,S,1.18303,33,114
1759080036900,EURUSD,S,1.18303,50,118
1759080036900,EURUSD,S,1.18303,33,120
1759080039000,EURUSD,S,1.18303,97,122
1759080039000,EURUSD,S,1.18303,48,124
1759080039000,EURUSD,S,1.18304,5,126
1759080039300,EURUSD,S,1.18304,27,126
1759080040900,EURUSD,S,1.18303,60,128
1759080041100,EURUSD,S,1.18303,20,128
1759080041100,EURUSD,S,1.18303,40,130
1759080041100,EURUSD,S,1.18304,26,132
1759080042900,EURUSD,S,1.18304,65,134
1759080042900,EURUSD,S,1.18304,32,136
1759080042900,EURUSD,S,1.18305,21,138
1759080044900,EURUSD,S,1.18305,54,140
1759080044900,EURUSD,S,1.18305,27,142
1759080044900,EURUSD,S,1.18305,18,144
1759080046900,EURUSD,S,1.18306,44,146
1759080046900,EURUSD,S,1.18306,22,148
1759080046900,EURUSD,S,1.18307,14,150
1759080048900,EURUSD,S,1.18307,36,152
1759080048900,EURUSD,S,1.18308,18,154
1759080048900,EURUSD,S,1.18308,12,156
1759080051300,EURUSD,S,1.18309,29,158
1759080051300,EURUSD,S,1.18309,14,160
1759080051300,EURUSD,S,1.1831,9,162
1759080053800,EURUSD,S,1.1831,22,164
1759080053900,EURUSD,S,1.1831,2,164
1759080053900,EURUSD,S,1.1831,12,166
1759080053900,EURUSD,S,1.18311,8,168
1759080055000,EURUSD,S,1.18311,20,170
1759080055000,EURUSD,S,1.18312,10,172
1759080055000,EURUSD,S,1.18312,6,174
1759080056900,EURUSD,S,1.18312,16,176
1759080056900,EURUSD,S,1.18312,8,178
1759080056900,EURUSD,S,1.18313,5,180
1759080058900,EURUSD,S,1.18312,13,182
1759080058900,EURUSD,S,1.18312,6,184
1759080058900,EURUSD,S,1.18313,4,186
1759080060900,EURUSD,S,1.18312,11,188
1759080060900,EURUSD,S,1.18312,5,190
1759080060900,EURUSD,S,1.18313,3,192
1759080062900,EURUSD,S,1.18312,9,194
1759080062900,EURUSD,S,1.18312,4,196
1759080062900,EURUSD,S,1.18313,3,198
1759080065000,EURUSD,S,1.18312,7,200
1759080065000,EURUSD,S,1.18312,3,202
1759080065000,EURUSD,S,1.18313,2,204
1759080066900,EURUSD,S,1.18312,6,206
1759080066900,EURUSD,S,1.18312,3,208
1759080066900,EURUSD,S,1.18313,2,210
1759080068900,EURUSD,S,1.18312,5,212
1759080068900,EURUSD,S,1.18312,2,214
1759080068900,EURUSD,S,1.18313,1,216
1759080071000,EURUSD,S,1.18312,4,218
1759080071000,EURUSD,S,1.18312,2,220
1759080071000,EURUSD,S,1.18313,1,222
1759080072900,EURUSD,S,1.18312,4,224
1759080072900,EURUSD,S,1.18312,2,226
1759080072900,EURUSD,S,1.18313,1,228
1759080075000,EURUSD,S,1.18312,3,230
1759080075000,EURUSD,S,1.18312,1,232
1759080075000,EURUSD,S,1.18313,1,234
1759080077400,EURUSD,S,1.18312,2,236
1759080077400,EURUSD,S,1.18312,1,238
1759080079100,EURUSD,S,1.18312,2,241
1759080079100,EURUSD,S,1.18312,1,243
1759080080900,EURUSD,S,1.18312,2,246
1759080080900,EURUSD,S,1.18312,1,248
1759080081500,EURUSD,B,1.18311,81,245
1759080082000,EURUSD,B,1.18311,19,245
1759080083000,EURUSD,B,1.18311,100,250
1759080083200,EURUSD,B,1.1831,26,252
1759080083400,EURUSD,B,1.1831,24,252
1759080083400,EURUSD,B,1.1831,33,253
1759080084900,EURUSD,B,1.18311,100,254
1759080084900,EURUSD,B,1.1831,50,256
1759080084900,EURUSD,B,1.1831,33,258
1759080087200,EURUSD,B,1.18311,81,260
1759080087600,EURUSD,B,1.18311,19,260
1759080087600,EURUSD,B,1.1831,50,262
1759080087600,EURUSD,B,1.1831,33,264
1759080089500,EURUSD,B,1.18311,41,266
1759080089600,EURUSD,B,1.18311,36,266
1759080090000,EURUSD,B,1.18311,23,266
1759080090000,EURUSD,B,1.1831,50,268
1759080090000,EURUSD,B,1.1831,15,270
1759080090200,EURUSD,B,1.1831,18,270
1759080090900,EURUSD,B,1.18311,46,272
1759080091100,EURUSD,B,1.18311,54,272
1759080091100,EURUSD,B,1.1831,50,274
1759080091100,EURUSD,B,1.1831,15,276
1759080091400,EURUSD,B,1.1831,18,276
1759080092900,EURUSD,B,1.18311,100,278
1759080092900,EURUSD,B,1.1831,50,280
1759080092900,EURUSD,B,1.1831,33,282
1759080095000,EURUSD,B,1.18311,55,284
1759080095200,EURUSD,B,1.18311,45,284
1759080095200,EURUSD,B,1.1831,32,286
1759080095300,EURUSD,B,1.1831,18,286
1759080095300,EURUSD,B,1.1831,33,288
1759080096900,EURUSD,B,1.18311,85,290
1759080096900,EURUSD,B,1.1831,21,292
1759080097000,EURUSD,B,1.1831,21,292
1759080097000,EURUSD,B,1.1831,28,294
1759080099300,EURUSD,B,1.1831,71,296
1759080099300,EURUSD,B,1.1831,35,298
1759080099300,EURUSD,B,1.1831,23,300
