# ts,symbol,price,size,side
1625097600000,EURUSD,1.1850,100,B
1625097600100,EURUSD,1.1851,50,S
1625097600200,EURUSD,1.1850,200,B
1625097600300,EURUSD,1.1852,30,S
1625097600400,EURUSD,1.1851,70,B
1625097600500,EURUSD,1.1853,60,S
1625097600600,EURUSD,1.1850,80,B
1625097600700,EURUSD,1.1852,40,S
1625097600800,EURUSD,1.1851,90,B
1625097600900,EURUSD,1.1854,100,S
1625097601000,EURUSD,1.1852,150,B
1625097601100,EURUSD,1.1855,50,S
1625097601200,EURUSD,1.1853,120,B
1625097601300,EURUSD,1.1856,80,S
1625097601400,EURUSD,1.1854,200,B
1625097601500,EURUSD,1.1857,60,S
1625097601600,EURUSD,1.1852,100,B
1625097601700,EURUSD,1.1858,90,S
1625097601800,EURUSD,1.1855,150,B
1625097601900,EURUSD,1.1859,100,S
