ts,symbol,price,size,side
1759080000000,EURUSD,1.18300,176,B
1759080000100,EURUSD,1.18299,67,S
1759080000200,EURUSD,1.18299,106,S
1759080000300,EURUSD,1.18301,40,B
1759080000400,EURUSD,1.18301,199,B
1759080000500,EURUSD,1.18299,63,S
1759080000600,EURUSD,1.18299,128,B
1759080000700,EURUSD,1.18298,33,B
1759080000800,EURUSD,1.18300,171,B
1759080000900,EURUSD,1.18300,118,S
1759080001000,EURUSD,1.18297,94,B
1759080001100,EURUSD,1.18297,127,S
1759080001200,EURUSD,1.18298,73,B
1759080001300,EURUSD,1.18298,31,B
1759080001400,EURUSD,1.18297,125,B
1759080001500,EURUSD,1.18297,145,B
1759080001600,EURUSD,1.18296,128,S
1759080001700,EURUSD,1.18296,172,B
1759080001800,EURUSD,1.18298,70,S
1759080001900,EURUSD,1.18296,104,B
