ts,symbol,price,size,side
1759080000000,EURUSD,1.18298,26,S
1759080000100,EURUSD,1.18299,77,B
1759080000200,EURUSD,1.18298,193,S
1759080000300,EURUSD,1.18302,42,S
1759080000400,EURUSD,1.18298,27,B
1759080000500,EURUSD,1.18299,149,S
1759080000600,EURUSD,1.18302,70,S
1759080000700,EURUSD,1.18302,127,B
1759080000800,EURUSD,1.18302,91,S
1759080000900,EURUSD,1.18298,60,S
1759080001000,EURUSD,1.18300,91,B
1759080001100,EURUSD,1.18300,46,B
1759080001200,EURUSD,1.18298,111,S
1759080001300,EURUSD,1.18302,87,S
1759080001400,EURUSD,1.18301,157,B
1759080001500,EURUSD,1.18301,40,S
1759080001600,EURUSD,1.18302,112,S
1759080001700,EURUSD,1.18298,31,S
1759080001800,EURUSD,1.18300,40,S
1759080001900,EURUSD,1.18298,117,B
1759080002000,EURUSD,1.18300,61,B
1759080002100,EURUSD,1.18299,191,B
1759080002200,EURUSD,1.18298,175,S
1759080002300,EURUSD,1.18302,82,B
1759080002400,EURUSD,1.18301,89,S
1759080002500,EURUSD,1.18302,76,S
1759080002600,EURUSD,1.18298,78,S
1759080002700,EURUSD,1.18300,122,B
1759080002800,EURUSD,1.18299,165,S
1759080002900,EURUSD,1.18300,74,S
1759080003000,EURUSD,1.18301,184,B
1759080003100,EURUSD,1.18300,55,B
1759080003200,EURUSD,1.18302,157,B
1759080003300,EURUSD,1.18302,129,S
1759080003400,EURUSD,1.18301,112,B
1759080003500,EURUSD,1.18299,150,B
1759080003600,EURUSD,1.18298,48,B
1759080003700,EURUSD,1.18299,194,B
1759080003800,EURUSD,1.18298,118,B
1759080003900,EURUSD,1.18301,155,B
1759080004000,EURUSD,1.18302,22,S
1759080004100,EURUSD,1.18298,194,S
1759080004200,EURUSD,1.18300,184,B
1759080004300,EURUSD,1.18300,131,B
1759080004400,EURUSD,1.18298,87,S
1759080004500,EURUSD,1.18299,149,S
1759080004600,EURUSD,1.18300,183,S
1759080004700,EURUSD,1.18299,59,B
1759080004800,EURUSD,1.18299,158,S
1759080004900,EURUSD,1.18302,20,S
1759080005000,EURUSD,1.18301,24,B
1759080005100,EURUSD,1.18300,98,B
