ts,symbol,price,size,side
1759080000000,EURUSD,1.18307,163,S
1759080000100,EURUSD,1.18349,139,B
1759080000200,EURUSD,1.18325,68,B
1759080000300,EURUSD,1.18315,141,S
1759080000400,EURUSD,1.18273,44,B
1759080000500,EURUSD,1.18268,43,S
1759080000600,EURUSD,1.18338,182,B
1759080000700,EURUSD,1.18300,135,S
1759080000800,EURUSD,1.18328,186,B
1759080000900,EURUSD,1.18251,155,B
1759080001000,EURUSD,1.18254,68,S
1759080001100,EURUSD,1.18326,27,S
1759080001200,EURUSD,1.18291,132,S
1759080001300,EURUSD,1.18275,152,B
1759080001400,EURUSD,1.18287,147,B
1759080001500,EURUSD,1.18260,137,S
1759080001600,EURUSD,1.18302,161,S
1759080001700,EURUSD,1.18260,85,B
1759080001800,EURUSD,1.18279,151,B
1759080001900,EURUSD,1.18258,164,S
