ts,symbol,price,size,side
1759080000000,EURUSD,1.18301,28,B
1759080000100,EURUSD,1.18301,23,B
1759080000200,EURUSD,1.18300,91,S
1759080000300,EURUSD,1.18299,28,S
1759080000400,EURUSD,1.18300,39,B
1759080000500,EURUSD,1.18301,112,B
1759080000600,EURUSD,1.18299,174,B
1759080000700,EURUSD,1.18300,92,S
1759080000800,EURUSD,1.18300,136,B
1759080000900,EURUSD,1.18300,189,B
1759080001000,EURUSD,1.18320,81,S
1759080001100,EURUSD,1.18321,116,B
1759080001200,EURUSD,1.18319,80,B
1759080001300,EURUSD,1.18320,157,B
1759080001400,EURUSD,1.18319,100,S
1759080001500,EURUSD,1.18320,131,B
1759080001600,EURUSD,1.18321,169,B
1759080001700,EURUSD,1.18321,60,S
1759080001800,EURUSD,1.18320,81,B
1759080001900,EURUSD,1.18320,97,S
