ts,symbol,price,size,side
1759080000000,EURUSD,1.18299,93,S
1759080000100,EURUSD,1.18299,138,B
1759080000200,EURUSD,1.18301,44,B
1759080000300,EURUSD,1.18300,175,B
1759080000400,EURUSD,1.18300,167,B
1759080000500,EURUSD,1.18302,131,B
1759080000600,EURUSD,1.18300,47,S
1759080000700,EURUSD,1.18301,59,B
1759080000800,EURUSD,1.18302,146,B
1759080000900,EURUSD,1.18301,172,S
1759080001000,EURUSD,1.18302,167,B
1759080001100,EURUSD,1.18301,32,S
1759080001200,EURUSD,1.18301,35,S
1759080001300,EURUSD,1.18302,90,S
1759080001400,EURUSD,1.18303,179,B
1759080001500,EURUSD,1.18304,187,S
1759080001600,EURUSD,1.18304,35,B
1759080001700,EURUSD,1.18304,137,S
1759080001800,EURUSD,1.18304,104,B
1759080001900,EURUSD,1.18304,199,B
1759080002000,EURUSD,1.18303,40,S
1759080002100,EURUSD,1.18303,171,B
1759080002200,EURUSD,1.18305,67,S
1759080002300,EURUSD,1.18303,161,S
1759080002400,EURUSD,1.18304,146,S
1759080002500,EURUSD,1.18306,112,S
1759080002600,EURUSD,1.18304,141,S
1759080002700,EURUSD,1.18306,41,B
1759080002800,EURUSD,1.18306,42,S
1759080002900,EURUSD,1.18306,59,S
1759080003000,EURUSD,1.18306,47,S
1759080003100,EURUSD,1.18306,133,S
1759080003200,EURUSD,1.18305,20,B
1759080003300,EURUSD,1.18305,52,S
1759080003400,EURUSD,1.18306,50,S
1759080003500,EURUSD,1.18307,86,S
1759080003600,EURUSD,1.18308,136,S
1759080003700,EURUSD,1.18307,42,S
1759080003800,EURUSD,1.18306,72,S
1759080003900,EURUSD,1.18308,123,B
1759080004000,EURUSD,1.18309,123,B
1759080004100,EURUSD,1.18309,124,S
1759080004200,EURUSD,1.18308,121,B
1759080004300,EURUSD,1.18307,157,B
1759080004400,EURUSD,1.18307,200,S
1759080004500,EURUSD,1.18308,191,B
1759080004600,EURUSD,1.18309,76,B
1759080004700,EURUSD,1.18308,118,S
1759080004800,EURUSD,1.18309,77,B
1759080004900,EURUSD,1.18310,35,B
1759080005000,EURUSD,1.18309,159,S
1759080005100,EURUSD,1.18311,148,S
1759080005200,EURUSD,1.18309,168,B
1759080005300,EURUSD,1.18309,53,B
1759080005400,EURUSD,1.18310,59,B
