ts,symbol,price,size,side
1759080000000,EURUSD,1.18300,126,B
1759080000100,EURUSD,1.18299,97,B
1759080000200,EURUSD,1.18299,143,B
1759080000300,EURUSD,1.18300,50,S
1759080000400,EURUSD,1.18301,186,B
1759080000500,EURUSD,1.18301,37,B
1759080000600,EURUSD,1.18301,59,B
1759080000700,EURUSD,1.18301,129,B
1759080000800,EURUSD,1.18300,56,S
1759080000900,EURUSD,1.18299,64,B
1759080001000,EURUSD,1.18300,101,B
1759080001100,EURUSD,1.18299,25,S
1759080001200,EURUSD,1.18300,119,S
1759080001300,EURUSD,1.18301,155,S
1759080001400,EURUSD,1.18301,178,S
1759080001500,EURUSD,1.18301,85,S
1759080001600,EURUSD,1.18299,146,S
1759080001700,EURUSD,1.18299,109,B
1759080001800,EURUSD,1.18299,83,B
1759080001900,EURUSD,1.18301,128,B
1759080002000,EURUSD,1.18300,118,S
1759080002100,EURUSD,1.18299,169,B
1759080002200,EURUSD,1.18299,163,B
1759080002300,EURUSD,1.18301,176,S
1759080002400,EURUSD,1.18301,159,S
1759080002500,EURUSD,1.18301,93,B
1759080002600,EURUSD,1.18299,66,B
1759080002700,EURUSD,1.18300,32,B
1759080002800,EURUSD,1.18299,20,S
1759080002900,EURUSD,1.18301,112,S
1759080003000,EURUSD,1.18300,132,B
1759080003100,EURUSD,1.18300,82,S
1759080003200,EURUSD,1.18301,189,B
1759080003300,EURUSD,1.18299,58,S
1759080003400,EURUSD,1.18301,87,S
1759080003500,EURUSD,1.18299,64,S
1759080003600,EURUSD,1.18299,43,B
1759080003700,EURUSD,1.18299,120,S
1759080003800,EURUSD,1.18299,41,S
1759080003900,EURUSD,1.18301,134,S
1759080004000,EURUSD,1.18300,186,S
1759080004100,EURUSD,1.18300,122,S
1759080004200,EURUSD,1.18299,154,S
1759080004300,EURUSD,1.18299,102,S
1759080004400,EURUSD,1.18301,126,B
1759080004500,EURUSD,1.18300,132,S
1759080004600,EURUSD,1.18299,120,S
1759080004700,EURUSD,1.18301,20,S
1759080004800,EURUSD,1.18301,28,S
1759080004900,EURUSD,1.18301,139,S
1759080005000,EURUSD,1.18321,190,B
1759080005100,EURUSD,1.18321,78,S
1759080005200,EURUSD,1.18319,32,B
1759080005300,EURUSD,1.18320,165,S
1759080005400,EURUSD,1.18320,135,S
1759080005500,EURUSD,1.18321,117,S
1759080005600,EURUSD,1.18321,123,S
1759080005700,EURUSD,1.18320,116,S
1759080005800,EURUSD,1.18320,82,S
1759080005900,EURUSD,1.18319,41,B
1759080006000,EURUSD,1.18321,88,B
1759080006100,EURUSD,1.18321,57,B
1759080006200,EURUSD,1.18319,22,B
1759080006300,EURUSD,1.18321,54,S
1759080006400,EURUSD,1.18321,177,S
1759080006500,EURUSD,1.18320,175,S
1759080006600,EURUSD,1.18319,188,S
1759080006700,EURUSD,1.18319,180,S
1759080006800,EURUSD,1.18319,41,S
1759080006900,EURUSD,1.18319,187,B
1759080007000,EURUSD,1.18321,191,S
1759080007100,EURUSD,1.18319,179,S
1759080007200,EURUSD,1.18320,122,S
1759080007300,EURUSD,1.18320,117,B
1759080007400,EURUSD,1.18319,51,B
1759080007500,EURUSD,1.18319,145,B
1759080007600,EURUSD,1.18320,161,B
1759080007700,EURUSD,1.18320,180,S
1759080007800,EURUSD,1.18320,89,B
1759080007900,EURUSD,1.18319,126,S
1759080008000,EURUSD,1.18319,143,S
1759080008100,EURUSD,1.18319,44,S
1759080008200,EURUSD,1.18319,188,S
1759080008300,EURUSD,1.18321,139,S
1759080008400,EURUSD,1.18319,167,S
1759080008500,EURUSD,1.18320,109,B
1759080008600,EURUSD,1.18321,106,S
1759080008700,EURUSD,1.18319,125,B
1759080008800,EURUSD,1.18321,146,S
1759080008900,EURUSD,1.18321,125,B
1759080009000,EURUSD,1.18319,85,S
1759080009100,EURUSD,1.18319,110,B
1759080009200,EURUSD,1.18319,171,S
1759080009300,EURUSD,1.18321,147,S
1759080009400,EURUSD,1.18320,108,B
1759080009500,EURUSD,1.18319,107,S
1759080009600,EURUSD,1.18321,68,S
1759080009700,EURUSD,1.18321,97,B
1759080009800,EURUSD,1.18320,183,S
1759080009900,EURUSD,1.18321,175,B
