ts,symbol,price,size,side
1759080725255,EURUSD,1.18284,157,S
1759080725355,EURUSD,1.18329,28,B
1759080725455,EURUSD,1.18287,124,B
1759080725555,EURUSD,1.18349,59,S
1759080725655,EURUSD,1.18252,192,S
1759080725755,EURUSD,1.18339,23,S
1759080725855,EURUSD,1.18302,200,S
1759080725955,EURUSD,1.18345,46,S
1759080726055,EURUSD,1.18253,106,S
1759080726155,EURUSD,1.18331,71,B
1759080726255,EURUSD,1.18305,182,S
1759080726355,EURUSD,1.1832,109,B
1759080726455,EURUSD,1.18269,10,S
1759080726555,EURUSD,1.18334,122,B
1759080726655,EURUSD,1.18296,36,S
1759080726755,EURUSD,1.18345,169,S
1759080726855,EURUSD,1.18336,183,B
1759080726955,EURUSD,1.18342,147,B
1759080727055,EURUSD,1.18283,186,B
1759080727155,EURUSD,1.18274,127,S
1759080727255,EURUSD,1.18333,72,S
1759080727355,EURUSD,1.18258,56,S
1759080727455,EURUSD,1.18328,103,S
1759080727555,EURUSD,1.18334,73,B
1759080727655,EURUSD,1.18344,46,S
1759080727755,EURUSD,1.18295,31,S
1759080727855,EURUSD,1.18255,177,S
1759080727955,EURUSD,1.1826,198,S
1759080728055,EURUSD,1.18268,40,S
1759080728155,EURUSD,1.18285,161,S
1759080728255,EURUSD,1.18321,55,S
1759080728355,EURUSD,1.18329,131,S
1759080728455,EURUSD,1.18345,105,S
1759080728555,EURUSD,1.18305,61,B
1759080728655,EURUSD,1.18347,103,B
1759080728755,EURUSD,1.18276,38,B
1759080728855,EURUSD,1.18309,100,S
1759080728955,EURUSD,1.1826,44,B
1759080729055,EURUSD,1.18336,80,B
1759080729155,EURUSD,1.18257,27,S
1759080729255,EURUSD,1.18296,145,B
1759080729355,EURUSD,1.18346,21,B
1759080729455,EURUSD,1.18302,184,S
1759080729555,EURUSD,1.1825,100,S
1759080729655,EURUSD,1.18269,164,B
1759080729755,EURUSD,1.18307,69,B
1759080729855,EURUSD,1.18335,40,B
1759080729955,EURUSD,1.18341,164,B
1759080730055,EURUSD,1.1827,114,S
1759080730155,EURUSD,1.18277,198,B
1759080730255,EURUSD,1.18325,185,S
1759080730355,EURUSD,1.18294,165,B
1759080730455,EURUSD,1.18287,56,S
1759080730555,EURUSD,1.18257,100,S
1759080730655,EURUSD,1.1835,76,B
1759080730755,EURUSD,1.18305,200,S
1759080730855,EURUSD,1.18301,72,B
1759080730955,EURUSD,1.18263,191,S
1759080731055,EURUSD,1.18307,106,S
1759080731155,EURUSD,1.1832,135,S
