ts,symbol,side,price,quantity,order_id
1759080725655,EURUSD,S,1.18305,100,20
1759080725655,EURUSD,S,1.18305,50,22
1759080725755,EURUSD,S,1.18305,50,26
1759080725755,EURUSD,S,1.18304,50,26
1759080725755,EURUSD,S,1.18304,50,28
1759080725855,EURUSD,S,1.18302,33,32
1759080725855,EURUSD,S,1.18302,33,32
1759080725855,EURUSD,S,1.18301,34,32
1759080725855,EURUSD,S,1.18301,50,34
1759080725955,EURUSD,S,1.18301,16,38
1759080725955,EURUSD,S,1.18299,50,38
1759080725955,EURUSD,S,1.18299,34,38
1759080726055,EURUSD,S,1.18299,66,44
1759080726055,EURUSD,S,1.18298,33,44
1759080726155,EURUSD,S,1.18297,50,50
1759080726155,EURUSD,S,1.18297,50,50
1759080726255,EURUSD,S,1.18297,50,56
1759080726355,EURUSD,S,1.18296,33,62
1759080726355,EURUSD,S,1.18296,67,62
1759080726455,EURUSD,S,1.18296,33,68
1759080726455,EURUSD,S,1.18295,50,68
1759080726455,EURUSD,S,1.18295,17,68
1759080726455,EURUSD,S,1.18295,50,70
1759080726555,EURUSD,S,1.18295,33,74
1759080726555,EURUSD,S,1.18294,33,74
1759080726555,EURUSD,S,1.18294,34,74
1759080726555,EURUSD,S,1.18294,16,76
1759080726555,EURUSD,S,1.18294,34,76
1759080726655,EURUSD,S,1.18294,16,80
1759080726655,EURUSD,S,1.18294,84,80
1759080726755,EURUSD,S,1.18294,16,86
1759080726755,EURUSD,S,1.18294,84,86
1759080726855,EURUSD,S,1.18294,16,92
